Exame,Teste,Treino,InstanciaExame,ImageCheckSum,ImagePathName,ImageShapeR,ImageShapeC,ImageShapeChannels,ObjectsCategory,ObjectsBoundingBoxMinimumR,ObjectsBoundingBoxMinimumC,ObjectsBoundingBoxMaximumR,ObjectsBoundingBoxMaximumC
4,False,True,2,8a111dffacfa433029492780b9535091,/images/13099edb-35d9-438f-b093-2cf2ebf9d255.png,1200,1600,3,1,208,324,337,446
4,False,True,20,8a111dffacfa433029492780b9535091,/images/13099edb-35d9-438f-b093-2cf2ebf9d255.png,1200,1600,3,0,1028,30,1144,137
4,False,True,19,8a111dffacfa433029492780b9535091,/images/13099edb-35d9-438f-b093-2cf2ebf9d255.png,1200,1600,3,0,645,184,747,305
5,False,True,3,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,1,661,422,803,558
5,False,True,49,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,1,209,96,381,253
5,True,False,49,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,1,962,1522,1108,1681
5,True,False,40,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,1,223,807,342,916
5,False,True,16,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,1,169,576,324,717
5,False,True,39,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,1,130,866,292,1014
5,False,True,46,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,0,5,1317,132,1456
5,False,True,47,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,0,570,1496,706,1598
5,False,True,48,ccef403e971460b86444cca669e68ca1,/images/2559636b-f01a-4414-93da-210c3b12d153.png,1200,1600,3,0,1052,191,1188,306
5,True,False,27,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,0,832,1136,966,1266
5,True,False,25,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,0,1114,942,1242,1086
5,True,False,26,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,0,597,436,710,549
6,False,True,65,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,988,441,1174,565
6,False,True,64,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,8,1446,227,1581
6,False,True,63,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,546,783,661,885
6,False,True,62,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,676,1330,826,1461
6,False,True,61,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,791,409,946,560
6,False,True,56,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,462,1417,612,1535
6,False,True,21,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,578,53,713,178
6,False,True,19,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,1,194,237,317,356
6,True,False,59,0309b4eeafbe95fbd799e8cb8f046c09,/images/ebc4056e-d766-43cf-b6b4-5dac79d96e84.jpg,1383,1944,3,1,118,723,268,905
6,False,True,36,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,853,845,963,953
6,False,True,2,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,818,587,930,709
6,False,True,68,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,449,188,560,299
6,False,True,67,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,729,548,832,631
6,False,True,66,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,642,479,762,582
6,False,True,69,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,336,9,443,100
6,False,True,60,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,755,973,839,1073
6,False,True,58,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,284,571,400,674
6,False,True,57,66e3afa946245882c144dcc6af191cbe,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1200,1600,3,0,1075,37,1181,124
7,False,True,15,36f63469b09e117ade01d97d3c7e2120,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,1200,1600,3,1,741,266,862,383
7,False,True,7,36f63469b09e117ade01d97d3c7e2120,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,1200,1600,3,1,228,1380,366,1498
7,True,False,52,533691959428fba83123c7ff18401cbe,/images/d9ecacb0-14c7-4862-930b-18bb51d5f392.jpg,1383,1944,3,1,963,783,1072,916
7,False,True,20,36f63469b09e117ade01d97d3c7e2120,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,1200,1600,3,0,984,476,1099,594
7,False,True,19,36f63469b09e117ade01d97d3c7e2120,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,1200,1600,3,0,67,99,169,204
7,False,True,18,36f63469b09e117ade01d97d3c7e2120,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,1200,1600,3,0,173,842,274,942
8,True,False,49,971806fb0d372327b3b36734f71c2286,/images/96287315-87a1-4045-9e16-119e045bf12a.jpg,1383,1944,3,1,568,502,678,638
8,False,True,52,82d98ef5d434e1b2d4693baef3d6c30e,/images/84c88143-940d-4b62-bbd2-7acc4cadcb6b.png,1200,1600,3,1,675,404,802,534
8,False,True,53,82d98ef5d434e1b2d4693baef3d6c30e,/images/84c88143-940d-4b62-bbd2-7acc4cadcb6b.png,1200,1600,3,1,787,1037,957,1169
8,True,False,6,971806fb0d372327b3b36734f71c2286,/images/96287315-87a1-4045-9e16-119e045bf12a.jpg,1383,1944,3,0,281,832,403,970
8,True,False,18,971806fb0d372327b3b36734f71c2286,/images/96287315-87a1-4045-9e16-119e045bf12a.jpg,1383,1944,3,0,631,63,754,194
8,True,False,17,971806fb0d372327b3b36734f71c2286,/images/96287315-87a1-4045-9e16-119e045bf12a.jpg,1383,1944,3,0,1060,1020,1177,1170
9,True,False,27,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,1,714,271,843,428
9,True,False,26,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,1,582,486,729,635
9,True,False,28,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,1,1141,1682,1289,1832
9,False,True,18,102b4b5063ed809a46f280d8f3576b46,/images/c6d97845-8ad2-4ab7-b385-66613628df5b.png,1200,1600,3,1,309,441,459,564
9,True,False,15,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,0,283,440,433,594
9,True,False,14,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,0,376,1468,500,1618
9,True,False,13,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,0,637,1589,777,1744
9,True,False,9,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,0,751,1307,895,1450
10,False,True,9,8b5cb906538df0f49df5e72efef40eaa,/images/bbf687b5-c6f9-4821-b2e5-a25df1acba47.png,1200,1600,3,1,564,421,702,556
10,True,False,30,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,1,66,676,207,863
10,True,False,29,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,1,174,664,303,824
10,True,False,27,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,1,912,579,1075,747
10,True,False,4,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,0,1175,687,1313,825
10,True,False,3,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,0,556,908,695,1042
10,False,True,2,8b5cb906538df0f49df5e72efef40eaa,/images/bbf687b5-c6f9-4821-b2e5-a25df1acba47.png,1200,1600,3,0,1079,847,1191,969
10,True,False,1,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,0,1030,500,1163,643
11,True,False,56,316e46d12311e077d4009a796482bc98,/images/a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg,1383,1944,3,1,652,758,736,840
11,True,False,55,316e46d12311e077d4009a796482bc98,/images/a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg,1383,1944,3,1,647,639,729,729
11,True,False,34,316e46d12311e077d4009a796482bc98,/images/a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg,1383,1944,3,0,315,731,451,869
11,True,False,36,316e46d12311e077d4009a796482bc98,/images/a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg,1383,1944,3,0,130,254,262,352
12,False,True,11,7468dab37de5f1423d76aeaf3c983afc,/images/67acd5bc-4658-4c6e-a9b9-cd8ea3a03418.png,1200,1600,3,1,311,618,422,735
12,True,False,45,9df5f009ef71c2e0c77df7e2fa1c74f5,/images/a6e72060-5bde-490c-bdd7-7d9cb0fce7fc.jpg,1383,1944,3,1,1133,542,1289,703
12,True,False,44,9df5f009ef71c2e0c77df7e2fa1c74f5,/images/a6e72060-5bde-490c-bdd7-7d9cb0fce7fc.jpg,1383,1944,3,1,46,1219,201,1368
12,False,True,22,7468dab37de5f1423d76aeaf3c983afc,/images/67acd5bc-4658-4c6e-a9b9-cd8ea3a03418.png,1200,1600,3,0,900,534,1021,663
12,False,True,23,7468dab37de5f1423d76aeaf3c983afc,/images/67acd5bc-4658-4c6e-a9b9-cd8ea3a03418.png,1200,1600,3,0,185,257,311,370
12,False,True,24,7468dab37de5f1423d76aeaf3c983afc,/images/67acd5bc-4658-4c6e-a9b9-cd8ea3a03418.png,1200,1600,3,0,869,126,992,240
13,False,True,40,9f5fcd5b43d6df1bab6c5b48a87e252b,/images/065af549-320a-4862-b92a-8ef750d7b5fb.png,1200,1600,3,1,224,1223,346,1389
13,False,True,41,9f5fcd5b43d6df1bab6c5b48a87e252b,/images/065af549-320a-4862-b92a-8ef750d7b5fb.png,1200,1600,3,1,390,258,538,424
13,True,False,43,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,1,838,750,955,873
13,True,False,42,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,1,1080,189,1187,316
13,True,False,41,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,1,163,1028,316,1190
13,True,False,6,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,0,472,1490,607,1628
13,True,False,1,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,0,1069,956,1184,1069
13,True,False,2,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,0,616,1180,743,1300
13,True,False,3,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,0,432,1747,565,1881
13,True,False,4,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,0,91,1200,212,1331
14,True,False,51,6b0890e55925fa17557a1b8802031c20,/images/738b7be5-59b5-4d8c-8769-cbf2385b9fc7.jpg,1383,1944,3,1,443,618,614,800
14,True,False,52,6b0890e55925fa17557a1b8802031c20,/images/738b7be5-59b5-4d8c-8769-cbf2385b9fc7.jpg,1383,1944,3,1,239,678,400,839
14,False,True,33,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,1,948,1479,1047,1565
14,False,True,42,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,1,588,45,712,199
14,False,True,44,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,1,370,717,490,839
14,False,True,45,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,1,312,1298,518,1454
14,False,True,43,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,1,637,143,762,293
14,False,True,3,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,299,554,387,650
14,False,True,27,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,303,717,391,819
14,False,True,26,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,29,1003,142,1117
14,False,True,25,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,170,666,283,765
14,False,True,24,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,92,1132,223,1243
14,False,True,23,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,56,351,177,468
14,False,True,22,2a662de4187b034c7074c7f98ad79673,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,1200,1600,3,0,1035,567,1167,694
15,True,False,32,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,1,331,1287,510,1432
15,True,False,31,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,1,1047,612,1208,767
15,False,True,55,7b2647d9508606220c4c34cf037ff2cd,/images/dcc1a193-7b74-44f8-ad8d-813751d8fa6b.png,1200,1600,3,1,708,146,875,230
15,False,True,23,7b2647d9508606220c4c34cf037ff2cd,/images/dcc1a193-7b74-44f8-ad8d-813751d8fa6b.png,1200,1600,3,1,656,1108,774,1224
15,True,False,18,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,0,1084,948,1225,1084
15,True,False,19,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,0,14,1418,123,1545
15,True,False,20,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,0,1052,223,1156,335
15,True,False,21,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,0,486,744,606,884
16,True,False,50,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1,295,72,404,207
16,True,False,49,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1,86,1281,240,1430
16,True,False,48,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1,632,546,776,702
16,True,False,47,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1,1019,1584,1162,1728
16,True,False,46,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1,753,1311,886,1465
16,True,False,45,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1,945,883,1081,1039
16,False,True,15,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,1,879,324,1002,454
16,False,True,25,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,1,922,712,1055,832
16,False,True,30,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,1003,456,1127,580
16,False,True,58,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,484,652,605,768
16,False,True,32,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,538,598,643,699
16,False,True,33,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,203,336,305,451
16,False,True,34,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,161,1309,250,1401
16,False,True,35,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,150,24,247,120
16,False,True,36,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,307,738,418,848
16,False,True,37,6b811ff966fec77d14513b6f1144db22,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,1200,1600,3,0,218,940,330,1063
17,False,True,7,7273df9d263ed3604692de0463e3ebf5,/images/c7a2d648-47cb-4b39-afa4-1b7fcfe51934.png,1200,1600,3,1,969,670,1103,810
17,True,False,53,e19accfb154bfacfc26e6f23f85c1897,/images/23e581e7-0fb7-42ff-ba55-a86beefc0619.jpg,1383,1944,3,1,473,1012,604,1176
17,True,False,21,e19accfb154bfacfc26e6f23f85c1897,/images/23e581e7-0fb7-42ff-ba55-a86beefc0619.jpg,1383,1944,3,0,362,1,492,136
17,True,False,20,e19accfb154bfacfc26e6f23f85c1897,/images/23e581e7-0fb7-42ff-ba55-a86beefc0619.jpg,1383,1944,3,0,1226,562,1364,710
18,False,True,30,6e27e374d20b059489bd6bd0c2fcbac7,/images/dce55b59-c6c3-4693-aa75-6b348c8f52cd.png,1200,1600,3,1,354,818,473,948
18,True,False,14,b74877b10f9fcefe509e8a22151a373b,/images/54c88d45-30c3-46f8-8fef-b3e9c07781f2.jpg,1383,1944,3,1,415,673,504,766
18,False,True,58,6e27e374d20b059489bd6bd0c2fcbac7,/images/dce55b59-c6c3-4693-aa75-6b348c8f52cd.png,1200,1600,3,1,875,1117,1047,1237
18,False,True,32,6e27e374d20b059489bd6bd0c2fcbac7,/images/dce55b59-c6c3-4693-aa75-6b348c8f52cd.png,1200,1600,3,0,120,856,226,952
18,False,True,39,6e27e374d20b059489bd6bd0c2fcbac7,/images/dce55b59-c6c3-4693-aa75-6b348c8f52cd.png,1200,1600,3,0,989,131,1100,248
18,False,True,38,6e27e374d20b059489bd6bd0c2fcbac7,/images/dce55b59-c6c3-4693-aa75-6b348c8f52cd.png,1200,1600,3,0,349,589,456,729
19,True,False,30,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,1,954,1045,1099,1208
19,True,False,32,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,1,984,1207,1129,1347
19,True,False,31,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,1,37,145,183,294
19,True,False,19,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,0,16,350,154,495
19,True,False,20,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,0,1089,408,1212,541
19,True,False,21,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,0,84,1704,224,1856
20,True,False,47,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,1,484,1690,627,1871
20,True,False,46,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,1,750,417,920,566
20,True,False,45,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,1,383,291,519,467
20,True,False,48,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,1,786,128,933,282
20,True,False,49,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,1,832,619,990,806
20,True,False,10,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,0,129,1686,246,1834
20,True,False,11,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,0,973,1123,1105,1271
