Exame,InstanciaExame,Teste,Treino,ImageCheckSum,ImagePathName,ImageShapeR,ImageShapeC,ImageShapeChannels,ObjectsBoundingBoxMinimumR,ObjectsBoundingBoxMinimumC,ObjectsBoundingBoxMaximumR,ObjectsBoundingBoxMaximumC,ObjectsCategory
14,52,1,0,6b0890e55925fa17557a1b8802031c20,/images/738b7be5-59b5-4d8c-8769-cbf2385b9fc7.jpg,1383,1944,3,239,678,400,839,trophozoite
15,31,1,0,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,1047,612,1208,767,trophozoite
15,32,1,0,97e4c628e39d31adb1492da0c18eaaef,/images/51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg,1383,1944,3,331,1287,510,1432,trophozoite
16,45,1,0,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,945,883,1081,1039,ring
16,46,1,0,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,753,1311,886,1465,ring
16,47,1,0,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,1019,1584,1162,1728,ring
16,48,1,0,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,632,546,776,702,ring
16,49,1,0,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,86,1281,240,1430,ring
16,50,1,0,030d6a2ef998ae70514c0565579fb5df,/images/da2197c7-7911-4be6-8bb9-164f47fd270a.jpg,1383,1944,3,295,72,404,207,ring
17,53,1,0,e19accfb154bfacfc26e6f23f85c1897,/images/23e581e7-0fb7-42ff-ba55-a86beefc0619.jpg,1383,1944,3,473,1012,604,1176,trophozoite
18,14,1,0,b74877b10f9fcefe509e8a22151a373b,/images/54c88d45-30c3-46f8-8fef-b3e9c07781f2.jpg,1383,1944,3,415,673,504,766,difficult
19,30,1,0,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,954,1045,1099,1208,ring
19,31,1,0,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,37,145,183,294,ring
19,32,1,0,4b17ce391abf5d3d8ea6b72ae4f6093c,/images/c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg,1383,1944,3,984,1207,1129,1347,ring
20,45,1,0,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,383,291,519,467,ring
20,46,1,0,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,750,417,920,566,ring
20,47,1,0,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,484,1690,627,1871,ring
20,48,1,0,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,786,128,933,282,ring
20,49,1,0,3fcb76d9b0b898b78c68b74079ee4205,/images/8874ea02-d263-4830-99d1-e1b14230a56b.jpg,1383,1944,3,832,619,990,806,ring
21,23,1,0,5961c84fea6526bdbb81d39abb9f63e8,/images/31c62771-4e90-4038-9abc-d196beda9898.jpg,1383,1944,3,290,825,440,952,schizont
21,24,1,0,5961c84fea6526bdbb81d39abb9f63e8,/images/31c62771-4e90-4038-9abc-d196beda9898.jpg,1383,1944,3,459,539,541,707,schizont
22,47,1,0,da92e23900d9f07120616cc9c7bebf8c,/images/c8d1b7ec-be9f-4c88-a39b-2c6bf46b2998.jpg,1383,1944,3,587,536,732,697,trophozoite
23,25,1,0,6059a84f36aee9d1fd6098c15ea17244,/images/96afe167-6a2f-4770-aa74-e083fbd5e926.jpg,1383,1944,3,244,717,420,885,trophozoite
24,19,1,0,a6d299858ae17893d8bf20f767313ac6,/images/7d16d1e8-4abf-46fc-81bc-d71bd08ed6f2.jpg,1383,1944,3,1054,1455,1186,1591,ring
24,20,1,0,a6d299858ae17893d8bf20f767313ac6,/images/7d16d1e8-4abf-46fc-81bc-d71bd08ed6f2.jpg,1383,1944,3,953,1028,1090,1171,ring
24,21,1,0,a6d299858ae17893d8bf20f767313ac6,/images/7d16d1e8-4abf-46fc-81bc-d71bd08ed6f2.jpg,1383,1944,3,867,612,1004,748,ring
24,22,1,0,a6d299858ae17893d8bf20f767313ac6,/images/7d16d1e8-4abf-46fc-81bc-d71bd08ed6f2.jpg,1383,1944,3,124,1578,292,1723,ring
25,35,1,0,e8718aa637c7950c54f570b04218de62,/images/91fd0c2e-8e9c-452d-97ab-304b05a049b3.jpg,1383,1944,3,308,1009,458,1127,ring
25,36,1,0,e8718aa637c7950c54f570b04218de62,/images/91fd0c2e-8e9c-452d-97ab-304b05a049b3.jpg,1383,1944,3,831,652,981,774,ring
26,99,1,0,e874c59ec1b6b1902ae16d5312e124d1,/images/511b6e13-acd7-4dd3-b1d0-c4aa10a514c7.jpg,1383,1944,3,663,669,836,830,trophozoite
27,54,1,0,b9a7ed493a830cf19e00f331ca57f667,/images/baab0701-3fd4-4940-8b90-b9c42d95888f.jpg,1383,1944,3,434,1209,613,1399,trophozoite
27,56,1,0,b9a7ed493a830cf19e00f331ca57f667,/images/baab0701-3fd4-4940-8b90-b9c42d95888f.jpg,1383,1944,3,380,427,548,607,trophozoite
27,64,1,0,b9a7ed493a830cf19e00f331ca57f667,/images/baab0701-3fd4-4940-8b90-b9c42d95888f.jpg,1383,1944,3,570,1647,719,1811,trophozoite
28,53,1,0,e78e365fce74d66c91b1bc1c0d29c3b5,/images/3e03b313-66eb-471f-a97a-7b2bf20dcff5.jpg,1383,1944,3,592,1758,743,1914,ring
28,54,1,0,e78e365fce74d66c91b1bc1c0d29c3b5,/images/3e03b313-66eb-471f-a97a-7b2bf20dcff5.jpg,1383,1944,3,802,0,954,160,ring
28,55,1,0,e78e365fce74d66c91b1bc1c0d29c3b5,/images/3e03b313-66eb-471f-a97a-7b2bf20dcff5.jpg,1383,1944,3,821,1652,954,1808,ring
29,38,1,0,4c71d3c64e8b6015bf66e1c7652c7043,/images/cc453255-b583-425e-bc3e-284ccf120944.jpg,1383,1944,3,506,824,613,961,trophozoite
30,62,1,0,88e64e3bd5dfab45349f7c006da85a42,/images/25865b39-56fb-409a-8800-3d368dd264ed.jpg,1383,1944,3,471,813,619,1002,trophozoite
30,63,1,0,88e64e3bd5dfab45349f7c006da85a42,/images/25865b39-56fb-409a-8800-3d368dd264ed.jpg,1383,1944,3,88,880,256,1029,trophozoite
30,65,1,0,88e64e3bd5dfab45349f7c006da85a42,/images/25865b39-56fb-409a-8800-3d368dd264ed.jpg,1383,1944,3,243,935,420,1120,trophozoite
31,48,1,0,9915c1a29a2521a9711f239f8c55e24b,/images/78ae52cf-8dad-4070-a40e-9af02faec1f0.jpg,1383,1944,3,101,1238,250,1410,ring
31,49,1,0,9915c1a29a2521a9711f239f8c55e24b,/images/78ae52cf-8dad-4070-a40e-9af02faec1f0.jpg,1383,1944,3,760,237,885,380,ring
31,50,1,0,9915c1a29a2521a9711f239f8c55e24b,/images/78ae52cf-8dad-4070-a40e-9af02faec1f0.jpg,1383,1944,3,168,755,308,977,ring
31,51,1,0,9915c1a29a2521a9711f239f8c55e24b,/images/78ae52cf-8dad-4070-a40e-9af02faec1f0.jpg,1383,1944,3,590,275,719,460,ring
32,30,1,0,1a294318e7132951f6a37596bb4cec8b,/images/f08e873b-9617-42b3-9c7a-55d0e39c2663.jpg,1383,1944,3,193,1297,291,1506,ring
32,31,1,0,1a294318e7132951f6a37596bb4cec8b,/images/f08e873b-9617-42b3-9c7a-55d0e39c2663.jpg,1383,1944,3,667,1187,800,1331,ring
32,32,1,0,1a294318e7132951f6a37596bb4cec8b,/images/f08e873b-9617-42b3-9c7a-55d0e39c2663.jpg,1383,1944,3,543,345,691,481,ring
32,33,1,0,1a294318e7132951f6a37596bb4cec8b,/images/f08e873b-9617-42b3-9c7a-55d0e39c2663.jpg,1383,1944,3,250,1235,359,1428,ring
33,49,1,0,70b33773ad0baa2426dfb91e0c4fa44e,/images/8111cff9-4c04-448e-990b-9d5010f7be56.jpg,1383,1944,3,216,296,379,470,trophozoite
33,50,1,0,70b33773ad0baa2426dfb91e0c4fa44e,/images/8111cff9-4c04-448e-990b-9d5010f7be56.jpg,1383,1944,3,361,274,528,445,trophozoite
33,51,1,0,70b33773ad0baa2426dfb91e0c4fa44e,/images/8111cff9-4c04-448e-990b-9d5010f7be56.jpg,1383,1944,3,280,1528,435,1695,trophozoite
34,45,1,0,b4458f3978b1b4506351e22bd37e3ee1,/images/e6a7743e-4040-40fa-b097-ca6874c469b7.jpg,1383,1944,3,444,526,593,684,ring
34,46,1,0,b4458f3978b1b4506351e22bd37e3ee1,/images/e6a7743e-4040-40fa-b097-ca6874c469b7.jpg,1383,1944,3,295,719,421,889,ring
34,47,1,0,b4458f3978b1b4506351e22bd37e3ee1,/images/e6a7743e-4040-40fa-b097-ca6874c469b7.jpg,1383,1944,3,788,1390,929,1573,ring
34,48,1,0,b4458f3978b1b4506351e22bd37e3ee1,/images/e6a7743e-4040-40fa-b097-ca6874c469b7.jpg,1383,1944,3,210,917,364,1077,ring
34,49,1,0,b4458f3978b1b4506351e22bd37e3ee1,/images/e6a7743e-4040-40fa-b097-ca6874c469b7.jpg,1383,1944,3,598,1535,707,1774,ring
35,53,1,0,3bed98ec9e595d60a08b00cbb9d66083,/images/e02301ac-68f7-4daf-b2ba-254b917f1cca.jpg,1383,1944,3,201,1596,390,1892,trophozoite
35,54,1,0,3bed98ec9e595d60a08b00cbb9d66083,/images/e02301ac-68f7-4daf-b2ba-254b917f1cca.jpg,1383,1944,3,1019,439,1152,648,gametocyte
35,55,1,0,3bed98ec9e595d60a08b00cbb9d66083,/images/e02301ac-68f7-4daf-b2ba-254b917f1cca.jpg,1383,1944,3,1162,596,1324,740,trophozoite
36,51,1,0,4cab0c9f0907171dc288bc7c215856b9,/images/1e647046-333b-4102-a0c6-4c29405c37b3.jpg,1383,1944,3,836,666,997,829,trophozoite
36,52,1,0,4cab0c9f0907171dc288bc7c215856b9,/images/1e647046-333b-4102-a0c6-4c29405c37b3.jpg,1383,1944,3,1099,630,1264,804,trophozoite
37,56,1,0,7d7805ad11c46c3c9b11f7c687f5c1c4,/images/ef55f2ac-5a04-4986-99ab-0d2b5052ab3e.jpg,1383,1944,3,412,829,542,954,ring
38,44,1,0,7c3a5f6b8fe43f8a5d6fb346315d3b23,/images/a3548f89-1cb5-4e67-b460-482df95b10ee.jpg,1383,1944,3,522,695,609,897,ring
38,45,1,0,7c3a5f6b8fe43f8a5d6fb346315d3b23,/images/a3548f89-1cb5-4e67-b460-482df95b10ee.jpg,1383,1944,3,580,1137,713,1291,ring
38,46,1,0,7c3a5f6b8fe43f8a5d6fb346315d3b23,/images/a3548f89-1cb5-4e67-b460-482df95b10ee.jpg,1383,1944,3,502,178,631,334,ring
38,47,1,0,7c3a5f6b8fe43f8a5d6fb346315d3b23,/images/a3548f89-1cb5-4e67-b460-482df95b10ee.jpg,1383,1944,3,215,742,357,924,ring
39,35,1,0,d47b3e64e65f644f9afc4bb0269f093a,/images/c6807595-100a-4aa1-a5f6-882a20ca3d32.jpg,1383,1944,3,405,896,507,1018,schizont
40,51,1,0,f3bff6c0fbe01cd85c60aa577891b9b6,/images/bdfbad30-fa2f-4285-bf02-6064ab6d869c.jpg,1383,1944,3,86,495,257,646,gametocyte
40,52,1,0,f3bff6c0fbe01cd85c60aa577891b9b6,/images/bdfbad30-fa2f-4285-bf02-6064ab6d869c.jpg,1383,1944,3,688,559,940,690,difficult
41,64,1,0,99d629cc4b7ce3b3b645f29ade81a749,/images/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.jpg,1383,1944,3,496,1245,651,1438,trophozoite
41,65,1,0,99d629cc4b7ce3b3b645f29ade81a749,/images/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.jpg,1383,1944,3,977,660,1110,820,trophozoite
42,35,1,0,624990ea5e506f58607c2f62f6360cc7,/images/d9255d7f-1282-442d-b152-73d7388526f9.jpg,1383,1944,3,965,1610,1108,1806,trophozoite
42,36,1,0,624990ea5e506f58607c2f62f6360cc7,/images/d9255d7f-1282-442d-b152-73d7388526f9.jpg,1383,1944,3,85,596,263,752,trophozoite
43,35,1,0,500aae999b8d3c4ce0923eeb60aad35d,/images/aa57ec7c-8f35-4990-a790-62efc9df8fe8.jpg,1383,1944,3,763,1031,892,1174,ring
43,36,1,0,500aae999b8d3c4ce0923eeb60aad35d,/images/aa57ec7c-8f35-4990-a790-62efc9df8fe8.jpg,1383,1944,3,12,817,152,968,ring
43,37,1,0,500aae999b8d3c4ce0923eeb60aad35d,/images/aa57ec7c-8f35-4990-a790-62efc9df8fe8.jpg,1383,1944,3,891,1756,1018,1902,ring
44,35,1,0,c79ca5fad7a608e56b5884ae60d282f7,/images/8e1e0fd3-52fb-4ebb-82de-67bbd66fcf4d.jpg,1383,1944,3,1096,1594,1215,1725,ring
44,36,1,0,c79ca5fad7a608e56b5884ae60d282f7,/images/8e1e0fd3-52fb-4ebb-82de-67bbd66fcf4d.jpg,1383,1944,3,896,1176,1035,1308,ring
44,37,1,0,c79ca5fad7a608e56b5884ae60d282f7,/images/8e1e0fd3-52fb-4ebb-82de-67bbd66fcf4d.jpg,1383,1944,3,2,1340,133,1502,ring
45,35,1,0,5599a34b49c7e5a009635260ff4e7515,/images/0897f682-5301-49fc-a8d5-9df7762040bb.jpg,1383,1944,3,280,1076,440,1241,ring
45,36,1,0,5599a34b49c7e5a009635260ff4e7515,/images/0897f682-5301-49fc-a8d5-9df7762040bb.jpg,1383,1944,3,541,49,697,211,ring
45,37,1,0,5599a34b49c7e5a009635260ff4e7515,/images/0897f682-5301-49fc-a8d5-9df7762040bb.jpg,1383,1944,3,1153,149,1285,285,ring
45,38,1,0,5599a34b49c7e5a009635260ff4e7515,/images/0897f682-5301-49fc-a8d5-9df7762040bb.jpg,1383,1944,3,282,570,416,720,ring
46,59,1,0,042a4c0a479ede0a29c50ca81e7fd2f0,/images/446734b7-6bc9-4a66-a3a0-49f6aa90db33.jpg,1383,1944,3,1172,791,1293,942,ring
46,64,1,0,042a4c0a479ede0a29c50ca81e7fd2f0,/images/446734b7-6bc9-4a66-a3a0-49f6aa90db33.jpg,1383,1944,3,8,272,157,446,trophozoite
46,65,1,0,042a4c0a479ede0a29c50ca81e7fd2f0,/images/446734b7-6bc9-4a66-a3a0-49f6aa90db33.jpg,1383,1944,3,209,1678,373,1838,trophozoite
46,66,1,0,042a4c0a479ede0a29c50ca81e7fd2f0,/images/446734b7-6bc9-4a66-a3a0-49f6aa90db33.jpg,1383,1944,3,379,1619,559,1778,trophozoite
46,67,1,0,042a4c0a479ede0a29c50ca81e7fd2f0,/images/446734b7-6bc9-4a66-a3a0-49f6aa90db33.jpg,1383,1944,3,977,803,1145,979,ring
46,68,1,0,042a4c0a479ede0a29c50ca81e7fd2f0,/images/446734b7-6bc9-4a66-a3a0-49f6aa90db33.jpg,1383,1944,3,1238,697,1369,856,ring
47,52,1,0,11951107bbcb7cd12eb2f44b7c3ca97b,/images/351d6536-3a5c-46eb-a6e4-d71dd999908a.jpg,1383,1944,3,965,352,1123,512,trophozoite
48,39,1,0,e22fb9c32c6ea48a84265ccc444de3dd,/images/15625643-d964-4b14-9839-c126384ae35b.jpg,1383,1944,3,422,715,553,891,trophozoite
49,77,1,0,309d105772abad5586cdc259973e0edc,/images/604478c7-1259-441a-8ad0-7059e191c9e4.jpg,1383,1944,3,1065,632,1217,778,ring
49,78,1,0,309d105772abad5586cdc259973e0edc,/images/604478c7-1259-441a-8ad0-7059e191c9e4.jpg,1383,1944,3,195,1615,310,1807,ring
49,79,1,0,309d105772abad5586cdc259973e0edc,/images/604478c7-1259-441a-8ad0-7059e191c9e4.jpg,1383,1944,3,549,779,691,946,ring
49,80,1,0,309d105772abad5586cdc259973e0edc,/images/604478c7-1259-441a-8ad0-7059e191c9e4.jpg,1383,1944,3,770,287,912,477,ring
49,81,1,0,309d105772abad5586cdc259973e0edc,/images/604478c7-1259-441a-8ad0-7059e191c9e4.jpg,1383,1944,3,68,1617,180,1805,ring
49,82,1,0,309d105772abad5586cdc259973e0edc,/images/604478c7-1259-441a-8ad0-7059e191c9e4.jpg,1383,1944,3,970,296,1090,440,ring
50,87,1,0,8bb21afda8f6f3ebd299bfcfc0da101b,/images/b9025f55-789d-4acb-9c0a-34e877c95c5c.jpg,1383,1944,3,1019,865,1171,1017,ring
50,88,1,0,8bb21afda8f6f3ebd299bfcfc0da101b,/images/b9025f55-789d-4acb-9c0a-34e877c95c5c.jpg,1383,1944,3,440,1346,596,1506,ring
51,46,1,0,289bb47995407ae208382017b0c4411d,/images/edea6ca9-3d52-4b4f-bec3-93799b1c26e3.jpg,1383,1944,3,400,754,553,922,trophozoite
51,47,1,0,289bb47995407ae208382017b0c4411d,/images/edea6ca9-3d52-4b4f-bec3-93799b1c26e3.jpg,1383,1944,3,1059,609,1156,783,trophozoite
51,49,1,0,289bb47995407ae208382017b0c4411d,/images/edea6ca9-3d52-4b4f-bec3-93799b1c26e3.jpg,1383,1944,3,110,916,243,1047,trophozoite
52,57,1,0,2fffc8b4178035a3becc2f9a02490f73,/images/b910c1db-9c66-4207-892f-18a03ecc75bc.jpg,1383,1944,3,434,262,588,431,trophozoite
52,58,1,0,2fffc8b4178035a3becc2f9a02490f73,/images/b910c1db-9c66-4207-892f-18a03ecc75bc.jpg,1383,1944,3,39,1651,177,1854,gametocyte
52,59,1,0,2fffc8b4178035a3becc2f9a02490f73,/images/b910c1db-9c66-4207-892f-18a03ecc75bc.jpg,1383,1944,3,910,434,1047,625,trophozoite
53,31,1,0,11df072bee50d6e941e943d6e088aa09,/images/8e22f8cc-b6ef-48cb-a06d-a44cb1fb5f2f.jpg,1383,1944,3,888,666,1046,871,schizont
54,39,1,0,a6da14a2ea98b065e4c2665affd9b932,/images/5a2447bf-a92b-4a47-a384-4b2ff020ecdc.jpg,1383,1944,3,305,744,430,876,ring
55,55,1,0,4199ea6344899a1a1065572b8614bfb6,/images/03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,1383,1944,3,447,670,616,829,ring
56,48,1,0,d0c05563d0dc63d3aa4b13b4eb55be72,/images/9cf0b006-cb5c-47e7-b076-1dcacf1fbfb1.jpg,1383,1944,3,987,917,1113,1062,ring
56,49,1,0,d0c05563d0dc63d3aa4b13b4eb55be72,/images/9cf0b006-cb5c-47e7-b076-1dcacf1fbfb1.jpg,1383,1944,3,530,397,656,533,ring
56,50,1,0,d0c05563d0dc63d3aa4b13b4eb55be72,/images/9cf0b006-cb5c-47e7-b076-1dcacf1fbfb1.jpg,1383,1944,3,141,918,269,1035,ring
57,34,1,0,490e42a02b9a0febce38ae7747de9b45,/images/51f6463c-1622-4c0d-8482-b864e0ed2e74.jpg,1383,1944,3,1104,701,1251,867,trophozoite
57,35,1,0,490e42a02b9a0febce38ae7747de9b45,/images/51f6463c-1622-4c0d-8482-b864e0ed2e74.jpg,1383,1944,3,815,838,955,1010,trophozoite
58,59,1,0,10ad46ddf60fff31021e74a5f1db8840,/images/a1265844-329c-4a49-a37f-e0541b83a50c.jpg,1383,1944,3,422,662,584,850,gametocyte
59,56,1,0,f5edce7419f4570f3d7f75e01bcb8b1c,/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg,1383,1944,3,929,1132,1080,1271,ring
59,57,1,0,f5edce7419f4570f3d7f75e01bcb8b1c,/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg,1383,1944,3,241,890,379,1106,ring
59,58,1,0,f5edce7419f4570f3d7f75e01bcb8b1c,/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg,1383,1944,3,10,1590,166,1764,trophozoite
59,59,1,0,f5edce7419f4570f3d7f75e01bcb8b1c,/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg,1383,1944,3,908,348,1031,586,trophozoite
59,60,1,0,f5edce7419f4570f3d7f75e01bcb8b1c,/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg,1383,1944,3,555,635,750,789,trophozoite
59,61,1,0,f5edce7419f4570f3d7f75e01bcb8b1c,/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg,1383,1944,3,964,297,1115,455,trophozoite
60,27,1,0,8ed788536065c293375168fc61a42d2a,/images/c736848a-437c-4121-b99f-58f186eb3a1d.jpg,1383,1944,3,659,1619,824,1790,gametocyte
60,28,1,0,8ed788536065c293375168fc61a42d2a,/images/c736848a-437c-4121-b99f-58f186eb3a1d.jpg,1383,1944,3,77,428,231,592,gametocyte
60,29,1,0,8ed788536065c293375168fc61a42d2a,/images/c736848a-437c-4121-b99f-58f186eb3a1d.jpg,1383,1944,3,1110,688,1289,857,trophozoite
61,44,1,0,0aed4f381b8323d594cbe073c09dbcfb,/images/0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1383,1944,3,304,492,448,652,ring
61,45,1,0,0aed4f381b8323d594cbe073c09dbcfb,/images/0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1383,1944,3,12,871,143,1039,ring
61,46,1,0,0aed4f381b8323d594cbe073c09dbcfb,/images/0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1383,1944,3,1214,625,1321,826,ring
61,47,1,0,0aed4f381b8323d594cbe073c09dbcfb,/images/0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1383,1944,3,503,785,647,963,ring
61,48,1,0,0aed4f381b8323d594cbe073c09dbcfb,/images/0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1383,1944,3,1026,643,1151,803,ring
61,49,1,0,0aed4f381b8323d594cbe073c09dbcfb,/images/0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1383,1944,3,696,785,815,907,ring
62,38,1,0,b894cac2cc15968ff5a42fcabe68a3c2,/images/d1394e1a-dedd-4458-a024-044dae2cd69d.jpg,1383,1944,3,127,752,291,894,ring
62,39,1,0,b894cac2cc15968ff5a42fcabe68a3c2,/images/d1394e1a-dedd-4458-a024-044dae2cd69d.jpg,1383,1944,3,833,1708,983,1879,ring
62,40,1,0,b894cac2cc15968ff5a42fcabe68a3c2,/images/d1394e1a-dedd-4458-a024-044dae2cd69d.jpg,1383,1944,3,404,367,549,526,ring
62,41,1,0,b894cac2cc15968ff5a42fcabe68a3c2,/images/d1394e1a-dedd-4458-a024-044dae2cd69d.jpg,1383,1944,3,549,50,694,202,ring
